StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,subject_id,caregiver_strategy,child_strategy,open_response
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter the participant ID:,"When you had the opportunity to choose animals for your child, how did you decide which animals to select?","When your child had a chance to select animals, how do you think they made their choices?",Anything else you would like to add or share?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}"
2022-07-25 11:30:03,2022-07-25 11:30:58,Survey Preview,*******,100,55,True,2022-07-25 11:30:59,R_3gY07aB6x6YWXrj,*******,*******,*******,*******,*******,*******,preview,EN,test,,,
2022-07-25 14:30:37,2022-07-25 14:32:05,IP Address,*******,100,88,True,2022-07-25 14:32:06,R_ZDb5JiyUc1sgHrH,*******,*******,*******,*******,*******,*******,anonymous,EN,p004,I picked ones that she might not know so she could become familiar with them.,She probably picked ones she knew.,
2022-07-25 11:34:00,2022-07-25 11:42:22,IP Address,*******,25,502,False,2022-08-01 11:42:26,R_1DBZISvFyeXuYqV,*******,*******,*******,*******,*******,*******,anonymous,EN,jasmine_test,,,
2022-09-20 12:46:21,2022-09-20 15:22:11,IP Address,*******,100,9350,True,2022-09-20 15:22:12,R_vMLEzIp8Y3SdoTT,*******,*******,*******,*******,*******,*******,anonymous,EN,p005,"Based on what she didn’t know ",The ones she didn’t know,
2022-09-23 13:32:07,2022-09-23 14:12:14,IP Address,*******,100,2407,True,2022-09-23 14:12:15,R_2znL4joGZWf5JpW,*******,*******,*******,*******,*******,*******,anonymous,EN,Test,,,
2022-09-24 11:03:37,2022-09-24 11:05:30,IP Address,*******,100,112,True,2022-09-24 11:05:30,R_DAe0TDub72kdrpL,*******,*******,*******,*******,*******,*******,anonymous,EN,p006,"Some random selections and also tried to pick something I thought was familiar and something I thought he didn't know. ","At the beginning of the study, I thought he selected based on what looked familiar. As the study went on, it seemed more random or whatever was ""closer"" for him. ",
2022-09-29 08:38:47,2022-09-29 08:39:44,IP Address,*******,100,57,True,2022-09-29 08:39:45,R_33w1RpEr6FHtzGp,*******,*******,*******,*******,*******,*******,anonymous,EN,p007,I tried to be as random as possible,Ones she knew,No
2022-09-30 08:05:43,2022-09-30 08:06:56,IP Address,*******,100,72,True,2022-09-30 08:06:56,R_2pPl7HyChRNeCo3,*******,*******,*******,*******,*******,*******,anonymous,EN,p008,"Chose unfamiliar animals so that she can learn them. ","Chose familiar animals ",
